,city,latitude,longitutde,temperature,humidity,cloudiness,wind_speed
0,barrow,-38.31,-60.23,50.95,37,0,4.38
1,kodiak,39.95,-94.76,91.94,55,1,10.29
2,tshikapa,-6.42,20.79,72.91,94,24,1.92
3,hithadhoo,-0.6,73.08,79.75,100,36,5.5
4,bethel,60.79,-161.76,53.96,83,90,9.17
5,new norfolk,-42.78,147.06,46.4,61,0,9.17
6,longyearbyen,78.22,15.63,37.4,69,75,19.46
7,rikitea,-23.12,-134.97,72.55,100,0,14.56
8,ribeira grande,38.52,-28.7,77.0,57,20,6.93
9,hilo,19.71,-155.08,73.94,97,90,3.36
10,victoria,5.28,115.24,81.39,88,75,3.94
11,atuona,-9.8,-139.03,79.75,99,8,21.61
12,gazanjyk,39.24,55.52,71.83,28,0,7.4
13,detchino,54.81,36.31,56.44,76,0,2.71
14,imbituba,-28.24,-48.67,62.6,63,0,9.17
15,amahai,-3.31,129.0,79.03,100,56,8.41
16,jamestown,-33.21,138.6,32.59,77,0,1.7
17,acapulco,16.86,-99.88,87.8,70,75,5.82
18,busselton,-33.64,115.35,52.75,100,80,8.19
19,khatanga,71.98,102.47,48.07,84,8,12.21
20,qaqortoq,60.72,-46.03,46.4,70,75,13.87
21,ushuaia,-54.81,-68.31,41.0,75,75,17.22
22,chokurdakh,70.62,147.9,41.32,97,92,6.62
23,qaanaaq,77.48,-69.36,38.35,90,0,4.94
24,tonantins,-2.86,-67.77,88.39,63,32,2.93
25,mandali,33.75,45.55,84.25,24,0,7.52
26,camacha,33.08,-16.33,72.63,78,20,16.11
27,saskylakh,71.97,114.09,39.43,87,0,3.49
28,maragogi,-9.01,-35.22,75.52,85,92,11.65
29,faanui,-16.48,-151.75,79.3,100,20,8.97
30,hobart,-42.88,147.33,46.4,61,0,9.17
31,butaritari,3.07,172.79,84.79,100,48,5.5
32,bayevo,53.27,80.77,53.92,95,0,7.4
33,marica,-22.92,-42.82,77.45,78,75,6.93
34,torbay,47.66,-52.73,73.4,60,90,17.22
35,aviles,43.55,-5.92,60.8,93,20,5.17
36,baghdad,33.3,44.38,95.0,24,0,11.41
37,port alfred,-33.59,26.89,61.03,98,8,4.16
38,ahuimanu,21.44,-157.84,81.03,90,90,11.41
39,tautira,-17.73,-149.15,84.2,62,40,11.41
40,vadso,70.07,29.75,57.2,62,44,29.97
41,mahebourg,-20.41,57.7,71.6,73,40,13.87
42,tutoia,-2.76,-42.27,84.2,58,20,17.22
43,kapaa,22.08,-159.32,83.1,81,75,21.92
44,batsfjord,70.63,29.72,54.1,90,0,16.58
